case_id,stl_path,stl_scale_m_per_unit,S,Ti_K,Mach,Altitude_km,Tw_K,alpha_deg,beta_or_bank_deg,attitude_input,ref_x_m,ref_y_m,ref_z_m,Aref_m2,Lref_Cl_m,Lref_Cm_m,Lref_Cn_m,shielding_on,ray_backend,out_dir,save_vtp_on,save_npz_on
baseline_cube_modeA,stl/cube.stl,1,5.0,300.0,,,300,0,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
baseline_cube_beta_sin_modeA,stl/cube.stl,1,5.0,300.0,,,300,10,5,beta_sin,0,0,0,1,1,1,1,0,auto,outputs,1,0
baseline_cube_bank_modeA,stl/cube.stl,1,5.0,300.0,,,300,15,30,bank,0,0,0,1,1,1,1,0,auto,outputs,1,0
baseline_capsule_modeA,stl/capsule.stl,1,5.0,300.0,,,300,0,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
baseline_plate_modeB,stl/plate.stl,1,,,25.0,100.0,300,5,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
baseline_double_plate_shield_on,stl/double_plate.stl,1,5.0,300.0,,,300,0,0,beta_tan,0,0,0,1,1,1,1,1,auto,outputs,1,0
baseline_double_plate_shield_off,stl/double_plate.stl,1,5.0,300.0,,,300,0,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
sanity_alpha_m20,stl/cube.stl,1,5.0,300.0,,,300,-20,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
sanity_alpha_m10,stl/cube.stl,1,5.0,300.0,,,300,-10,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
sanity_alpha_p10,stl/cube.stl,1,5.0,300.0,,,300,10,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
sanity_alpha_p20,stl/cube.stl,1,5.0,300.0,,,300,20,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
sweep_beta_m15,stl/cube.stl,1,5.0,300.0,,,300,0,-15,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
sweep_beta_p15,stl/cube.stl,1,5.0,300.0,,,300,0,15,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
tw_200,stl/cube.stl,1,5.0,300.0,,,200,10,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
tw_600,stl/cube.stl,1,5.0,300.0,,,600,10,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
modeB_equiv_ref,stl/cube.stl,1,,,25.0,100.0,300,5,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
modeA_equiv_ref,stl/cube.stl,1,20.711805563427,195.081,,,300,5,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
multi_stl_disjoint,stl/cube.stl;stl/plate_offset_x2.stl,1,5.0,300.0,,,300,5,5,beta_tan,0,0,0,1,1,1,1,0,auto,outputs,1,0
scale_mm_input,stl/cube.stl,0.001,5.0,300.0,,,300,0,0,beta_tan,0,0,0,0.000001,0.001,0.001,0.001,0,auto,outputs,1,0
io_npz_only,stl/cube.stl,1,5.0,300.0,,,300,0,0,beta_tan,0,0,0,1,1,1,1,0,auto,outputs/npz_only,0,1
